MLS_Num,Address,City,Original_Price,List_Date,Days_On_Market,Living_SQFT,Status,List_Price,Land_SQFT,Type,Closing_Date,Sold_Price,Zip
401289,1772 HALAMA St,Kihei,6990000,45345,201,1577,ACT,6990000,12889,SFD,,,96753
399386,22 Cane Rd,Paia,7500000,45123,423,3291,PNDS,6995000,91302,SF,,,96779
402751,23 Nalu Pl,Paia,7000000,45472,74,1040,ACT,7000000,8864,SF,,,96779
399256,30 Malie Pl,Paia,9200000,45105,441,3881,ACT,7450000,10677,SF,,,96779
402504,33 Hana Hwy,Paia,9800000,45450,96,3220,ACT,8800000,28000,SFD,,,96779
402674,210 HAUOLI St,Wailuku,9300000,45467,79,2154,ACT,9300000,36691,SFD,,,96793
401168,4584 Makena Rd,Kihei,11000000,45334,212,2760,ACT,10000000,50094,SF,,,96753
400666,95 & 285 Kekaulike Ave,Kula,12500000,45286,260,6148,ACT,11500000,969210,SFD,,,96790
402660,40723 Hana Hwy,Hana,15000000,45351,195,1812,ACT,15000000,2357032,SFD,,,96713
402368,5670 Hana Hwy,Hana,75000000,45441,105,1828,ACT,75000000,154506449,SF,,,96713
